"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @bayanmo: Duterte to Roxas: Wala kang ginawa. You are claiming credit which is not yours. You are always a pretentious leader #PiliPinas<U+2026>",FALSE,0,NA,2016-03-27 13:26:31,FALSE,NA,"714081165003476992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThereseMalinay",348,TRUE,FALSE,NA,NA
"2","RT @illustradont: I'm saying this again.

I didn't die for this fam. #PiliPinas2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 13:25:42,FALSE,NA,"714080958257844224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chntllrms",1471,TRUE,FALSE,NA,NA
"3","RT @DilimanConyos: OMG DUTERTE AND BINAY #PiliPinasDebates2016 NEVER AGAIN",FALSE,0,NA,2016-03-27 13:20:00,FALSE,NA,"714079525080924160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ziamcm",15,TRUE,FALSE,NA,NA
"4","RT @DilimanConyos: Last note: Duterte die-hards always say he was ""joking"" or ""sarcastic"" whenever he does something stupid #PiliPinasDebat<U+2026>",FALSE,0,NA,2016-03-27 13:19:55,FALSE,NA,"714079503614484480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ziamcm",38,TRUE,FALSE,NA,NA
"5","RT @PhilippineStar: Rodrigo Duterte on solving crime issues within six months #BilangPilipino #PiliPinasDebates2016 https://t.co/EATskM2LFV",FALSE,0,NA,2016-03-27 13:17:42,FALSE,NA,"714078947193978880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","juliliepebenito",76,TRUE,FALSE,NA,NA
"6","RT @ABSCBNNews: DEBATE RECAP: Rodrigo Duterte twits Mar Roxas over his alleged underperformance as DILG chief #PiliPinasDebates2016 https:/<U+2026>",FALSE,0,NA,2016-03-27 13:16:56,FALSE,NA,"714078753148698624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","juliliepebenito",100,TRUE,FALSE,NA,NA
"7","RT @inquirerdotnet: #RodrigoDuterte on his pledge to stop crime should he assume the presidency. #VotePH2016 #PiliPinasDebates2016 https://<U+2026>",FALSE,0,NA,2016-03-27 13:16:50,FALSE,NA,"714078729585053696",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","juliliepebenito",287,TRUE,FALSE,NA,NA
"8","RT @filipinoposts: Who's your President? BOTO NA! #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 13:13:30,FALSE,NA,"714077889042337792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RJunsay",246,TRUE,FALSE,NA,NA
"9","RT @abrahamdsl: Now watching #KMJSPinoyKlasiks. Did somebody watch last week's episode, as we're glued to #PilipinasDebates2016 haha",FALSE,0,NA,2016-03-27 13:12:03,FALSE,NA,"714077523622043652",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","princerussel17",5,TRUE,FALSE,NA,NA
"10","RT @BisayaTaVibes: Just Duterte. Nothing else.
#Du30 
#PHVoteDuterte 
#PiliPinasDebates2016",FALSE,0,NA,2016-03-27 13:02:49,FALSE,NA,"714075202456395776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaylaKilajae",95,TRUE,FALSE,NA,NA
"11","RT @Senyora: Ano ka ngayon Binay. Si Duterte pa talaga inakusahan mong kurapsyon. Don't him <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 13:00:43,FALSE,NA,"714074673256861696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",2882,TRUE,FALSE,NA,NA
"12","RT @Senyora: Pero Grace Poe, tinalikuran mo pa rin ang Pilipinas. Pwedeng pumuntang Amerika na hindi nanunumpa. Don't us #PiliPinasDebates2<U+2026>",FALSE,0,NA,2016-03-27 13:00:34,FALSE,NA,"714074633314500609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",2056,TRUE,FALSE,NA,NA
"13","RT @BisayaTaVibes: Just Duterte. Nothing else.
#Du30 
#PHVoteDuterte 
#PiliPinasDebates2016",FALSE,0,NA,2016-03-27 13:00:26,FALSE,NA,"714074602528309248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rdholics",95,TRUE,FALSE,NA,NA
"14","RT @BisayaTaVibes: Just Duterte. Nothing else.
#Du30 
#PHVoteDuterte 
#PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:58:46,FALSE,NA,"714074182808526849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GalosJane",95,TRUE,FALSE,NA,NA
"15","RT @Senyora: BOOM SABOG KA MAR! PRETENTIOUS LEADER. #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:57:15,FALSE,NA,"714073799331684352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",3397,TRUE,FALSE,NA,NA
"16","RT @Senyora: Jusko sumingit si Binay di ko kinaya yung ""baka umattend lang ng seminar"" #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:57:03,FALSE,NA,"714073749931171841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",4360,TRUE,FALSE,NA,NA
"17","RT @Senyora: Kawawa naman si ateng nag sa-sign language. Tarantang taranta na! TV5 sub!! #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:56:44,FALSE,NA,"714073670054846465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",4403,TRUE,FALSE,NA,NA
"18","RT @Senyora: Yes Duterte! Leadership ang nawawala sa Pilipinas, kailangan na ibalik! #PHVoteDuterte #PiliPinasDebates2016 MABUHAY ANG PILIP<U+2026>",FALSE,0,NA,2016-03-27 12:54:45,FALSE,NA,"714073171515736064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",3707,TRUE,FALSE,NA,NA
"19","RT @rapplerdotcom: WATCH: Closing statement of #PHVoteDuterte. https://t.co/Ix0E86uTqE #PHVote #PiliPinasDebates2016 https://t.co/NU91yVWEfO",FALSE,0,NA,2016-03-27 12:54:19,FALSE,NA,"714073062983872512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maryjaneghilar1",607,TRUE,FALSE,NA,NA
"20","RT @Senyora: MMK Moment nanaman ni Mar! Ano kayang title? Text to 2200 para manalong 10k load. #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:54:16,FALSE,NA,"714073049801162752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","empathy_09",1559,TRUE,FALSE,NA,NA
"21","RT @explicitmixtape: last week's referee: luchi cruz-valdes (#PiliPinasDebates2016)

this week's referee: angel locsin (#PGT5Debate)",FALSE,0,NA,2016-03-27 12:52:34,FALSE,NA,"714072622506450944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lanizg",1,TRUE,FALSE,NA,NA
"22","RT @illustradont: I'm saying this again.

I didn't die for this fam. #PiliPinas2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:51:12,FALSE,NA,"714072279764705282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","psychologizz",1471,TRUE,FALSE,NA,NA
"23","RT @illustradont: I'm saying this again.

I didn't die for this fam. #PiliPinas2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:49:10,FALSE,NA,"714071767883448320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gillpilll",1471,TRUE,FALSE,NA,NA
"24","RT @illustradont: I'm saying this again.

I didn't die for this fam. #PiliPinas2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:49:02,FALSE,NA,"714071731611172864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cristineeeex",1471,TRUE,FALSE,NA,NA
"25","RT @illustradont: I'm saying this again.

I didn't die for this fam. #PiliPinas2016 #PiliPinasDebates2016",FALSE,0,NA,2016-03-27 12:48:08,FALSE,NA,"714071504372105216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theagines",1471,TRUE,FALSE,NA,NA
"26","last week's referee: luchi cruz-valdes (#PiliPinasDebates2016)

this week's referee: angel locsin (#PGT5Debate)",FALSE,4,NA,2016-03-27 12:48:05,FALSE,NA,"714071494259712000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","explicitmixtape",1,FALSE,FALSE,NA,NA
"27","RT @abrahamdsl: Now watching #KMJSPinoyKlasiks. Did somebody watch last week's episode, as we're glued to #PilipinasDebates2016 haha",FALSE,0,NA,2016-03-27 12:45:45,FALSE,NA,"714070907208093697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gemdiannemorale",5,TRUE,FALSE,NA,NA
"28","RT @abrahamdsl: Now watching #KMJSPinoyKlasiks. Did somebody watch last week's episode, as we're glued to #PilipinasDebates2016 haha",FALSE,0,NA,2016-03-27 12:45:44,FALSE,NA,"714070902795702273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Aldub_rz",5,TRUE,FALSE,NA,NA
"29","RT @abrahamdsl: Now watching #KMJSPinoyKlasiks. Did somebody watch last week's episode, as we're glued to #PilipinasDebates2016 haha",FALSE,0,NA,2016-03-27 12:44:33,FALSE,NA,"714070603779559424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlbiarBruce",5,TRUE,FALSE,NA,NA
"30","Now watching #KMJSPinoyKlasiks. Did somebody watch last week's episode, as we're glued to #PilipinasDebates2016 haha",FALSE,5,NA,2016-03-27 12:42:41,FALSE,NA,"714070133979947008",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","abrahamdsl",5,FALSE,FALSE,NA,NA
