"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @abscbndotcom: LOOK: #JaDine and other #OTWOL star at their epic Thanksgiving Party https://t.co/EZQ5Xgxqjd",FALSE,0,NA,2016-03-02 07:04:38,FALSE,NA,"704925362887729153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuarezAlexLei",11,TRUE,FALSE,NA,NA
"2","RT @ABSCBN: Narito ang unang patikim sa bagong pelikula ng #JaDine! https://t.co/2vqZ3fBAXt https://t.co/48hYxCohQg",FALSE,0,NA,2016-03-02 07:02:33,FALSE,NA,"704924841061851136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iantongco",213,TRUE,FALSE,NA,NA
"3","RT @Forever_Jadine2: Give me a sec, about to flood your feed with BTS. #OTWOLSanFrancisco #JaDine #CLeah  #VoteJamesFPP #KCA https://t.co/y<U+2026>",FALSE,0,NA,2016-03-02 07:01:35,FALSE,NA,"704924597997707265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iantongco",2,TRUE,FALSE,NA,NA
"4","Excited much #jadine next movie",FALSE,0,NA,2016-03-02 07:00:22,FALSE,NA,"704924293004660736",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","eng_ellensarona",0,FALSE,FALSE,NA,NA
"5","RT @WljdHongkong: Ang dami talagang hindi maka move on sa #JaDine. Kaya madaming beastmode eh.<U+2026> https://t.co/PbR5U2L0Yx",FALSE,0,NA,2016-03-02 06:58:47,FALSE,NA,"704923892448628737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omyjadine",2,TRUE,FALSE,NA,NA
"6","Team Realest! 
#JaDine #TeamReal <U+2764>  #VoteJamesFPP #KCA https://t.co/weaCDU5LZV",FALSE,0,NA,2016-03-02 06:56:38,FALSE,NA,"704923353308667905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forever_Jadine2",0,FALSE,FALSE,NA,NA
"7","RT @abscbndotcom: LOOK: #JaDine and other #OTWOL star at their epic Thanksgiving Party https://t.co/EZQ5Xgxqjd",FALSE,0,NA,2016-03-02 06:56:07,FALSE,NA,"704923221422972929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eleanor_1712",11,TRUE,FALSE,NA,NA
"8","ang cuuutest couple! 
#JaDine #TeamReal  #VoteJamesFPP #KCA https://t.co/xqnWammF2n",FALSE,0,NA,2016-03-02 06:55:27,FALSE,NA,"704923054279958533",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forever_Jadine2",0,FALSE,FALSE,NA,NA
"9","RT @Forever_Jadine2: -  BTS. Palace of Fine Arts. #JaDine #VoteJamesFPP #KCA https://t.co/41Rd1N4lly",FALSE,0,NA,2016-03-02 06:54:50,FALSE,NA,"704922898277003264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","daniellekyleIIX",1,TRUE,FALSE,NA,NA
"10","RT @abscbndotcom: LOOK: #JaDine and other #OTWOL star at their epic Thanksgiving Party https://t.co/EZQ5Xgxqjd",FALSE,0,NA,2016-03-02 06:54:41,FALSE,NA,"704922858783375362",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hi_itsmegabby",11,TRUE,FALSE,NA,NA
"11","RT @Forever_Jadine2: Real-life couple, James and Nadine for Bench! Hihi <U+2764><U+FE0F> <U+00A9> @benchtm 
#JaDine  #VoteJamesFPP #KCA https://t.co/l038RJC6JL",FALSE,0,NA,2016-03-02 06:54:15,FALSE,NA,"704922750390050821",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","31_jadine",1,TRUE,FALSE,NA,NA
"12","RT @abscbndotcom: LOOK: #JaDine and other #OTWOL star at their epic Thanksgiving Party https://t.co/EZQ5Xgxqjd",FALSE,0,NA,2016-03-02 06:54:07,FALSE,NA,"704922718282579968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beverlygeronimo",11,TRUE,FALSE,NA,NA
"13","This time I promise you that we'll rise above it all and I will never let you fall. #JaDine #VoteJamesFPP #KCA https://t.co/zSys9a7MzB",FALSE,0,NA,2016-03-02 06:52:44,FALSE,NA,"704922368964239360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forever_Jadine2",0,FALSE,FALSE,NA,NA
