"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @pictoline: Leonardo DiCaprio <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> 
#Oscars https://t.co/Ugrwz1XSw2",FALSE,0,NA,2016-03-02 14:40:41,FALSE,NA,"705040133263749120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TigerBunnygroup",48877,TRUE,FALSE,NA,NA
"2","RT @koodji: <U+0E21><U+0E35><U+0E25><U+0E38><U+0E07><U+0E41><U+0E16><U+0E27><U+0E19><U+0E35><U+0E49><U+0E25><U+0E37><U+0E21> #Oscars  <U+0E44><U+0E27><U+0E49><U+0E17><U+0E35><U+0E48><U+0E23><U+0E49><U+0E32><U+0E19><U+0E2D><U+0E32><U+0E2B><U+0E32><U+0E23> 55555555555555 <U+0E1E><U+0E19><U+0E07>.<U+0E15><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E2D><U+0E32><U+0E21><U+0E32><U+0E04><U+0E37><U+0E19>

<U+0E02><U+0E2D><U+0E21><U+0E35><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48><U+0E14><U+0E49><U+0E27><U+0E22><U+0E04><U+0E48><U+0E30> 5555555555555 https://t.co/hK8MjhASZT",FALSE,0,NA,2016-03-02 14:40:40,FALSE,NA,"705040130298421248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iknxply",276,TRUE,FALSE,NA,NA
"3","RT @koodji: <U+0E21><U+0E35><U+0E25><U+0E38><U+0E07><U+0E41><U+0E16><U+0E27><U+0E19><U+0E35><U+0E49><U+0E25><U+0E37><U+0E21> #Oscars  <U+0E44><U+0E27><U+0E49><U+0E17><U+0E35><U+0E48><U+0E23><U+0E49><U+0E32><U+0E19><U+0E2D><U+0E32><U+0E2B><U+0E32><U+0E23> 55555555555555 <U+0E1E><U+0E19><U+0E07>.<U+0E15><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E2D><U+0E32><U+0E21><U+0E32><U+0E04><U+0E37><U+0E19>

<U+0E02><U+0E2D><U+0E21><U+0E35><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48><U+0E14><U+0E49><U+0E27><U+0E22><U+0E04><U+0E48><U+0E30> 5555555555555 https://t.co/hK8MjhASZT",FALSE,0,NA,2016-03-02 14:40:39,FALSE,NA,"705040126456393728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaNGWHAn",276,TRUE,FALSE,NA,NA
"4","RT @Poradowo: #Oscars #TeamLeonardo #TeamLeoDiCaprio https://t.co/maVX0tNRZf",FALSE,0,NA,2016-03-02 14:40:39,FALSE,NA,"705040125902856197",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I_am_nemeziss",325,TRUE,FALSE,NA,NA
"5","RT @voguejp: <U+30C6><U+30A4><U+30E9><U+30FC><U+30FB><U+30B9><U+30A6><U+30A3><U+30D5><U+30C8><U+306F><U+51DB><U+3068><U+3057><U+3066><U+30BB><U+30AF><U+30B7><U+30FC><U+306A><U+3001><U+5207><U+308C><U+5473><U+306E><U+3042><U+308B><U+30D6><U+30E9><U+30C3><U+30AF><U+30C9><U+30EC><U+30B9><U+3067><U+30A2><U+30C0><U+30EB><U+30C8><U+306A><U+30E0><U+30FC><U+30C9><U+3092><U+6F14><U+51FA><U+3002> #<U+30A2><U+30AB><U+30C7><U+30DF><U+30FC><U+8CDE> <U+30A2><U+30D5><U+30BF><U+30FC><U+30D1><U+30FC><U+30C6><U+30A3><U+306E><U+30C9><U+30EC><U+30B9><U+30C1><U+30A7><U+30C3><U+30AF><U+3002> https://t.co/9sBpxbUBkD #Oscars https://t.co/MGqFuQM<U+2026>",FALSE,0,NA,2016-03-02 14:40:36,FALSE,NA,"705040111252013056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kidsyf",27,TRUE,FALSE,NA,NA
"6","I feel a lot like Leo right now: overdue. The only difference is he knew what the heck he wanted to say. #newblood #Oscars",FALSE,0,NA,2016-03-02 14:40:35,FALSE,NA,"705040110300078080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sheatyno",0,FALSE,FALSE,NA,NA
"7","RT @koodji: <U+0E21><U+0E35><U+0E25><U+0E38><U+0E07><U+0E41><U+0E16><U+0E27><U+0E19><U+0E35><U+0E49><U+0E25><U+0E37><U+0E21> #Oscars  <U+0E44><U+0E27><U+0E49><U+0E17><U+0E35><U+0E48><U+0E23><U+0E49><U+0E32><U+0E19><U+0E2D><U+0E32><U+0E2B><U+0E32><U+0E23> 55555555555555 <U+0E1E><U+0E19><U+0E07>.<U+0E15><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E2D><U+0E32><U+0E21><U+0E32><U+0E04><U+0E37><U+0E19>

<U+0E02><U+0E2D><U+0E21><U+0E35><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48><U+0E14><U+0E49><U+0E27><U+0E22><U+0E04><U+0E48><U+0E30> 5555555555555 https://t.co/hK8MjhASZT",FALSE,0,NA,2016-03-02 14:40:32,FALSE,NA,"705040097318555652",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","puncharchue",276,TRUE,FALSE,NA,NA
"8","RT @thebestofmarvel: We're all Mark Ruffalo right now <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> #Oscars https://t.co/qQV1uSWqEk",FALSE,0,NA,2016-03-02 14:40:32,FALSE,NA,"705040096966406145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wholockedjedi",2439,TRUE,FALSE,NA,NA
"9","10 brands that stood out during #Oscars https://t.co/MVTkOZrAN7",FALSE,0,NA,2016-03-02 14:40:32,FALSE,NA,"705040096400007168",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Antoni_Prats",0,FALSE,FALSE,NA,NA
"10","RT @JustJared: .@NinaDobrev and Lily Collins both went glam for the Vanity Fair #Oscars party! Pics here: https://t.co/eq7F0GqMcH https://t<U+2026>",FALSE,0,NA,2016-03-02 14:40:31,FALSE,NA,"705040092067397633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","locrime94",836,TRUE,FALSE,NA,NA
