"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-02 05:44:50,FALSE,NA,"704905280518287361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmenhekx",3405,TRUE,FALSE,NA,NA
"2","#PiLIPINASDEBATES2016",FALSE,0,NA,2016-03-02 05:43:52,FALSE,NA,"704905037881937920",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MissMustache07",0,FALSE,FALSE,NA,NA
"3","@mrydeyen better than #PiliPinasDebates2016 HAHAHA",FALSE,0,"mrydeyen",2016-03-02 05:32:19,FALSE,"704901355392122881","704902132399529984","543057740","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RichiaOh",0,FALSE,FALSE,NA,NA
"4","RT @gmanews: Sa loob ng 3-6 buwan, malilinis daw ni Mayor Duterte (@RRD_Davao) ang bayan. #PiliPinasDebates2016 #Eleksyon2016 https://t.co/<U+2026>",FALSE,0,NA,2016-03-02 05:10:42,FALSE,NA,"704896690499788800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","novadeli1",483,TRUE,FALSE,NA,NA
"5","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-02 05:04:10,FALSE,NA,"704895049713188865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tintin_delfin",3405,TRUE,FALSE,NA,NA
"6","RT @PPpinakamalupet: Intense: Santiago
Prepared: Poe
Chill: Duterte
Dramatic: Roxas
Special Participation: Binay
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PiliPinasDeba<U+2026>",FALSE,0,NA,2016-03-02 05:03:48,FALSE,NA,"704894955106467840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","betoc6c",167,TRUE,FALSE,NA,NA
"7","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-02 04:51:27,FALSE,NA,"704891848175849473",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","cerezo_cindy",3084,TRUE,FALSE,NA,NA
"8","RT @fyifeelings: ""laki ako sa hirap""

""...sa Makati"" #PiliPinasDebates2016 https://t.co/8IM6rW3g3B",FALSE,0,NA,2016-03-02 04:43:58,FALSE,NA,"704889963079335936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RominaPalma27",118,TRUE,FALSE,NA,NA
"9","RT @fyifeelings: ""laki ako sa hirap""

""...sa Makati"" #PiliPinasDebates2016 https://t.co/8IM6rW3g3B",FALSE,0,NA,2016-03-02 04:42:43,FALSE,NA,"704889652092731392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jovelfollero",118,TRUE,FALSE,NA,NA
"10","RT @cnnphilippines: Catch the sole VP debate for the #PiliPinasDebates2016 series, April 10 on CNN Philippines. #TheFilipinoVotes https://t<U+2026>",FALSE,0,NA,2016-03-02 04:33:41,FALSE,NA,"704887377550966784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","keenesquivias",100,TRUE,FALSE,NA,NA
